Date/Time (LST),Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Time (LST),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2012-06-01 00:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,00:00,11.6,,3.8,,59,,,,36.0,,6,,25.0,,101.21,,,,,,Clear
2012-06-01 01:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,01:00,11.3,,3.6,,59,,,,1.0,,7,,25.0,,101.24,,,,,,Clear
2012-06-01 02:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,02:00,10.8,,3.1,,59,,,,2.0,,9,,25.0,,101.27,,,,,,Mainly Clear
2012-06-01 03:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,03:00,9.5,,2.6,,62,,,,2.0,,9,,25.0,,101.29,,,,,,Mainly Clear
2012-06-01 04:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,04:00,10.1,,2.8,,60,,,,3.0,,11,,48.3,,101.34,,,,,,Mostly Cloudy
2012-06-01 05:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,05:00,10.7,,3.3,,60,,,,3.0,,11,,48.3,,101.38,,,,,,Cloudy
2012-06-01 06:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,06:00,11.6,,4.5,,62,,,,2.0,,7,,48.3,,101.42,,,,,,Cloudy
2012-06-01 07:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,07:00,14.6,,5.3,,54,,,,4.0,,9,,48.3,,101.44,,,,,,Cloudy
2012-06-01 08:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,08:00,15.2,,3.5,,45,,,,5.0,,11,,48.3,,101.48,,,,,,Cloudy
2012-06-01 09:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,09:00,17.1,,4.6,,44,,,,7.0,,11,,48.3,,101.47,,,,,,Cloudy
2012-06-01 10:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,10:00,18.5,,1.2,,31,,,,8.0,,20,,48.3,,101.44,,,,,,Mostly Cloudy
2012-06-01 11:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,11:00,18.4,,1.0,,31,,,,7.0,,17,,48.3,,101.4,,,,,,Cloudy
2012-06-01 12:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,12:00,19.3,,3.3,,35,,,,9.0,,20,,48.3,,101.32,,,,,,Cloudy
2012-06-01 13:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,13:00,19.5,,4.0,,36,,,,10.0,,17,,48.3,,101.29,,,,,,Cloudy
2012-06-01 14:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,14:00,19.6,,4.6,,37,,,,11.0,,15,,48.3,,101.21,,,,,,Cloudy
2012-06-01 15:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,15:00,19.8,,4.9,,38,,,,10.0,,17,,48.3,,101.16,,,,,,Cloudy
2012-06-01 16:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,16:00,20.2,,4.3,,35,,,,7.0,,22,,48.3,,101.04,,,,,,Cloudy
2012-06-01 17:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,17:00,20.2,,4.1,,35,,,,8.0,,19,,48.3,,101.03,,,,,,Cloudy
2012-06-01 18:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,18:00,20.1,,4.6,,36,,,,8.0,,19,,24.1,,100.98,,,,,,Cloudy
2012-06-01 19:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,19:00,20.0,,5.3,,38,,,,6.0,,19,,25.0,,100.88,,,,,,Cloudy
2012-06-01 20:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,20:00,19.9,,4.9,,37,,,,8.0,,20,,25.0,,100.86,,,,,,Cloudy
2012-06-01 21:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,21:00,19.6,,5.7,,40,,,,8.0,,26,,25.0,,100.8,,,,,,Rain
2012-06-01 22:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,22:00,19.6,,6.5,,42,,,,10.0,,20,,25.0,,100.77,,,,,,Cloudy
2012-06-01 23:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,1,23:00,18.2,,8.3,,52,,,,11.0,,19,,25.0,,100.77,,,,,,Rain
2012-06-02 00:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,00:00,17.5,,8.2,,54,,,,14.0,,15,,19.3,,100.78,,,,,,Rain
2012-06-02 01:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,01:00,15.9,,9.5,,66,,,,9.0,,19,,16.1,,100.67,,,,,,Rain
2012-06-02 02:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,02:00,14.6,,8.7,,68,,,,10.0,,19,,16.1,,100.58,,,,,,Rain
2012-06-02 03:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,03:00,14.2,,8.8,,70,,,,9.0,,19,,16.1,,100.5,,,,,,Rain
2012-06-02 04:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,04:00,13.6,,9.5,,76,,,,10.0,,24,,12.9,,100.43,,,,,,Rain
2012-06-02 05:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,05:00,13.4,,9.2,,76,,,,9.0,,24,,16.1,,100.36,,,,,,Rain
2012-06-02 06:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,06:00,13.6,,9.5,,76,,,,11.0,,19,,16.1,,100.44,,,,,,Rain
2012-06-02 07:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,07:00,13.4,,8.7,,73,,,,13.0,,17,,19.3,,100.45,,,,,,Rain
2012-06-02 08:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,08:00,12.3,,9.7,,84,,,,5.0,,11,,19.3,,100.48,,,,,,Rain
2012-06-02 09:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,09:00,13.1,,9.6,,79,,,,11.0,,13,,24.1,,100.52,,,,,,Cloudy
2012-06-02 10:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,10:00,12.5,,9.8,,84,,,,8.0,,7,,8.0,,100.48,,,,,,"Rain,Fog"
2012-06-02 11:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,11:00,12.5,,10.3,,86,,,,10.0,,7,,16.1,,100.48,,,,,,Rain
2012-06-02 12:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,12:00,12.8,,10.5,,86,,,,9.0,,9,,24.1,,100.43,,,,,,Rain
2012-06-02 13:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,13:00,13.1,,10.9,,86,,,,11.0,,11,,24.1,,100.43,,,,,,Rain
2012-06-02 14:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,6,2,14:00,13.6,,10.9,,84,,,,11.0,,20,,24.1,,100.39,,,,,,Cloudy
